track_id,rank,track_name,artist_names,album_name,album_id,popularity,duration,explicit,release_date,album_type,copies
3aSWXU6owkZeVhh94XxEWO,90,30 For 30 (with Kendrick Lamar),SZA|Kendrick Lamar,SOS Deluxe: LANA,3VQkNrG74QPY4rHBPoyZYZ,89.0,4:38,1.0,2024-12-20,album,2.0
5Z75FvRFiultmPFWHx5jQ7,47,7 Dias,Gabito Ballesteros|Tito Double P,7 Dias,5BoeqKVMi7D4S6U38rWjS4,90.0,3:00,1.0,2025-01-30,single,3.0
0FDzzruyVECATHXKHFs9eJ,84,A Sky Full of Stars,Coldplay,Ghost Stories,2G4AUqfwxcV1UdQjm2ouYr,89.0,4:27,0.0,2014-05-16,album,861.0
3FjK86616FbluOfTxNK2gY,67,ANXIETY (feat. Doechii),Sleepy Hallow|Doechii,Boy Meets World,2Qq4N5lYtsZspF2QFLKcbY,89.0,2:28,1.0,2023-09-15,album,1.0
5vNRhkKd0yEAg8suGBpjeY,8,APT.,ROSÉ|Bruno Mars,APT.,2IYQwwgxgOIn7t3iF6ufFD,95.0,2:49,0.0,2024-10-18,single,1160.0
5ZLUm9eab8y3tqQ1OhQSHI,17,Abracadabra,Lady Gaga,Abracadabra,2I6LyArz82waG94e9V5B9d,93.0,3:43,0.0,2025-02-03,single,
3GCdLUSnKSMJhs4Tj6CV3s,9,All The Stars (with SZA),Kendrick Lamar|SZA,Black Panther The Album Music From And Inspired By,3pLdWdkj83EYfDN6H2N8MR,95.0,3:52,1.0,2018-02-09,album,26.0
1musbempyJAw5gfSKZHXP9,29,Anxiety,Doechii,Anxiety,706mYHElAsR2MfcehZt2PA,92.0,4:09,1.0,2025-03-05,single,7.0
2lTm559tuIvatlT1u0JYG2,5,BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,96.0,6:07,1.0,2025-01-05,album,
6dOtVTDdiauQNBQEDOtlAB,3,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,98.0,3:30,0.0,2024-05-17,album,7.0
3U3hFkMr0Q90pD24EkE3Pr,89,BMF,SZA,SOS Deluxe: LANA,3VQkNrG74QPY4rHBPoyZYZ,89.0,3:00,1.0,2024-12-20,album,2.0
3xkHsmpQCBMytMJNiDf3Ii,32,Beautiful Things,Benson Boone,Fireworks & Rollerblades,168CdR21lfn0TTyw1Pkdcm,91.0,3:00,0.0,2024-04-05,album,2029.0
0VjIjW4GlUZAMYd2vXMi3b,73,Blinding Lights,The Weeknd,After Hours,4yP0hdKOZPNshxUOjY0cZj,89.0,3:20,0.0,2020-03-20,album,477.0
0b0Dz0Gi86SVdBxYeiQcCP,39,Busy Woman,Sabrina Carpenter,Short n' Sweet (Deluxe),3WzBIQmn2hrulLeTY9smkk,91.0,3:06,1.0,2025-02-14,album,
7BRD7x5pt8Lqa1eGYC4dzj,62,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,90.0,5:03,0.0,2024-05-17,album,1.0
0zirWZTcXBBwGsevrsIpvT,4,Clean Baby Sleep White Noise (Loopable),Dream Supplier|Baby Sleeps|Background White Noise,Best White Noise For Sleeping Baby,0NGHR9zjS5eFFlqtClA9VV,97.0,2:22,0.0,2020-04-29,single,2.0
70LcF31zb1H0PyJoS1Sx1r,76,Creep,Radiohead,Pablo Honey,3gBVdu4a1MMJVMy6vwPEb8,89.0,3:58,1.0,1993-02-22,album,36.0
1BxfuPKGuaTgP7aM0Bbdwr,94,Cruel Summer,Taylor Swift,Lover,1NAmidJlEaVgA3MpcPFYGq,89.0,2:58,0.0,2019-08-23,album,10.0
3AWDeHLc88XogCaCnZQLVI,58,Cry For Me,The Weeknd,Hurry Up Tomorrow,3OxfaVgvTxUTy7276t7SPU,90.0,3:44,1.0,2025-01-31,album,
1eTaznNW4Xxtx9za2SMTXB,28,DENIAL IS A RIVER,Doechii,Alligator Bites Never Heal,60UzB8mOCMpc7xkuJE6Bwc,92.0,2:39,1.0,2024-08-30,album,20.0
5lKFO0PrOC9jmOlPEdjHsL,71,DOS DÍAS,Tito Double P|Peso Pluma,INCÓMODO,27GWSFRITD8JJcSGMgEfTN,89.0,2:33,1.0,2024-08-22,album,2.0
7EW7Yivb93qKAtp5qEm5of,74,Dark Thoughts,Lil Tecca,Dark Thoughts,7BnNV4WZAG7rFqUeMHRdUP,89.0,2:16,1.0,2025-03-14,single,
2plbrEY59IikOBgBGLjaoe,1,Die With A Smile,Lady Gaga|Bruno Mars,Die With A Smile,10FLjwfpbxLmW8c25Xyc2N,100.0,4:11,0.0,2024-08-16,single,9.0
3sK8wGT43QFpWrvNQsrQya,2,DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,98.0,3:57,1.0,2025-01-05,album,3.0
6iycYUk3oB0NPMdaDUrN1w,30,EVIL J0RDAN,Playboi Carti,MUSIC,0fSfkmx0tdPqFYkJuNX74a,92.0,3:03,1.0,2025-03-14,album,2.0
3qhlB30KknSejmIvZZLjOD,54,End of Beginning,Djo,DECIDE,4JDXBZdRPId4devseaAOKH,90.0,2:39,0.0,2022-09-16,album,5.0
6J5kc12BW5HuP3d7C3vvx8,18,EoO,Bad Bunny,,5K79FLRUCSysQnVESLcTdb,93.0,3:24,1.0,2025-01-05,album,1.0
2HRqTpkrJO5ggZyyK6NPWz,61,Espresso,Sabrina Carpenter,Short n' Sweet,3iPSVi54hsacKKl1xIR2eH,90.0,2:55,1.0,2024-08-23,album,92.0
1JSTJqkT5qHq8MDJnJbRE1,51,Every Breath You Take,The Police,Synchronicity (Remastered 2003),5W9OT0a5iZlBr83a9WMKFY,90.0,4:13,0.0,1983-06-17,album,288.0
0WbMK4wrZ1wFSty9F7FCgu,16,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",1WAjjRMfZjEXtB0lQrAw6Q,94.0,3:38,0.0,2024-04-05,single,83.0
7KXjTSCq5nL1LoYtL7XAwS,80,HUMBLE.,Kendrick Lamar,DAMN.,4eLPsYPBmXABThSJ821sqY,89.0,2:57,1.0,2017-04-14,album,
63Pi2NAx5yCgeLhCTOrEou,91,Headlock,Imogen Heap,Speak for Yourself (Deluxe Version),5DuihGAcuJdwyktx3EmncM,89.0,3:35,,2005,album,8.0
51rfRCiUSvxXlCSCfIztBy,60,"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,56bdWeO40o3WfAD2Lja4dl,90.0,2:37,1.0,2024-06-21,album,4.0
5XeFesFbtLpXzIVDNQP22n,26,I Wanna Be Yours,Arctic Monkeys,AM,78bpIziExqiI9qztvNFlQu,92.0,3:03,0.0,2013-09-09,album,4.0
6Qyc6fS4DsZjB2mRW9DsQs,33,Iris,The Goo Goo Dolls,Dizzy up the Girl,4UMjBXcRqIgMZ1XumU2x5T,91.0,4:49,0.0,1998,album,33.0
