ticker,event_ticker,title,subtitle,open_time,close_time,settlement_ts,result,settlement_value_dollars,volume_fp,last_price_dollars,yes_bid_dollars,no_bid_dollars
KXNBAGAME-25APR15ATLORL-ORL,KXNBAGAME-25APR15ATLORL,Atlanta vs Orlando Winner?,,2025-04-14T18:00:00Z,2025-04-16T02:39:09.736516Z,2025-04-16T02:47:32.782451Z,yes,1.0000,199125.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR15ATLORL-ATL,KXNBAGAME-25APR15ATLORL,Atlanta vs Orlando Winner?,,2025-04-14T18:00:00Z,2025-04-16T02:39:09.736516Z,2025-04-16T02:47:32.782451Z,no,0.0000,185969.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR15MEMGSW-MEM,KXNBAGAME-25APR15MEMGSW,Memphis vs Golden State Winner?,,2025-04-14T18:00:00Z,2025-04-16T04:59:04.802883Z,2025-04-16T05:07:27.782601Z,no,0.0000,319985.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR15MEMGSW-GSW,KXNBAGAME-25APR15MEMGSW,Memphis vs Golden State Winner?,,2025-04-14T18:00:00Z,2025-04-16T04:59:04.802883Z,2025-04-16T05:07:27.782601Z,yes,1.0000,345417.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR16MIACHI-CHI,KXNBAGAME-25APR16MIACHI,Miami vs Chicago Winner?,,2025-04-14T19:15:00Z,2025-04-17T02:12:34.041146Z,2025-04-17T02:20:57.781509Z,no,0.0000,411138.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR16MIACHI-MIA,KXNBAGAME-25APR16MIACHI,Miami vs Chicago Winner?,,2025-04-14T19:15:00Z,2025-04-17T02:12:34.041146Z,2025-04-17T02:20:57.781509Z,yes,1.0000,248189.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR16DALSAC-SAC,KXNBAGAME-25APR16DALSAC,Dallas vs Sacramento Winner?,,2025-04-14T19:15:00Z,2025-04-17T04:46:19.745289Z,2025-04-17T04:54:42.782303Z,no,0.0000,303339.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR16DALSAC-DAL,KXNBAGAME-25APR16DALSAC,Dallas vs Sacramento Winner?,,2025-04-14T19:15:00Z,2025-04-17T04:46:19.745289Z,2025-04-17T04:54:42.782303Z,yes,1.0000,336289.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR18MIAATL-MIA,KXNBAGAME-25APR18MIAATL,Miami vs Atlanta Winner?,,2025-04-17T03:00:00Z,2025-04-19T01:45:05.883567Z,2025-04-19T01:53:28.773762Z,yes,1.0000,286918.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR18MIAATL-ATL,KXNBAGAME-25APR18MIAATL,Miami vs Atlanta Winner?,,2025-04-17T03:00:00Z,2025-04-19T01:45:05.883567Z,2025-04-19T01:53:28.773762Z,no,0.0000,349040.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR18DALMEM-MEM,KXNBAGAME-25APR18DALMEM,Dallas vs Memphis Winner?,,2025-04-17T05:00:00Z,2025-04-19T04:06:33.833681Z,2025-04-19T04:14:56.783878Z,yes,1.0000,258324.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR18DALMEM-DAL,KXNBAGAME-25APR18DALMEM,Dallas vs Memphis Winner?,,2025-04-17T05:00:00Z,2025-04-19T04:06:33.833681Z,2025-04-19T04:14:56.783878Z,no,0.0000,395513.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR19MILIND-MIL,KXNBAGAME-25APR19MILIND,Milwaukee vs Indiana: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-19T20:03:10.824743Z,2025-04-19T20:11:30.77819Z,no,0.0000,208317.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR19MILIND-IND,KXNBAGAME-25APR19MILIND,Milwaukee vs Indiana: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-19T20:03:10.824743Z,2025-04-19T20:11:30.77819Z,yes,1.0000,140997.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR19LACDEN-DEN,KXNBAGAME-25APR19LACDEN,Los Angeles C vs Denver: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-19T22:46:12.555913Z,2025-04-19T22:54:32.78801Z,yes,1.0000,536859.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR19LACDEN-LAC,KXNBAGAME-25APR19LACDEN,Los Angeles C vs Denver: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-19T22:46:12.555913Z,2025-04-19T22:54:32.78801Z,no,0.0000,365459.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR19DETNYK-NYK,KXNBAGAME-25APR19DETNYK,Detroit vs New York: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-20T00:58:20.089323Z,2025-04-20T01:06:40.777617Z,yes,1.0000,949521.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR19DETNYK-DET,KXNBAGAME-25APR19DETNYK,Detroit vs New York: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-20T00:58:20.089323Z,2025-04-20T01:06:40.777617Z,no,0.0000,939346.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR19MINLAL-LAL,KXNBAGAME-25APR19MINLAL,Minnesota vs Los Angeles L: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-20T03:14:20.604658Z,2025-04-20T03:22:40.78772Z,no,0.0000,442106.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR19MINLAL-MIN,KXNBAGAME-25APR19MINLAL,Minnesota vs Los Angeles L: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-20T03:14:20.604658Z,2025-04-20T03:22:40.78772Z,yes,1.0000,253563.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR20MEMOKC-OKC,KXNBAGAME-25APR20MEMOKC,Memphis vs Oklahoma City: Game 1 Winner?,,2025-04-19T04:30:00Z,2025-04-20T19:50:12.685733Z,2025-04-20T19:58:32.777972Z,yes,1.0000,42283.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR20MEMOKC-MEM,KXNBAGAME-25APR20MEMOKC,Memphis vs Oklahoma City: Game 1 Winner?,,2025-04-19T04:30:00Z,2025-04-20T19:50:12.685733Z,2025-04-20T19:58:32.777972Z,no,0.0000,82500.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR20ORLBOS-ORL,KXNBAGAME-25APR20ORLBOS,Orlando vs Boston: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-20T22:03:35.680622Z,2025-04-20T22:11:55.77783Z,no,0.0000,261231.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR20ORLBOS-BOS,KXNBAGAME-25APR20ORLBOS,Orlando vs Boston: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-20T22:03:35.680622Z,2025-04-20T22:11:55.77783Z,yes,1.0000,317645.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR20MIACLE-MIA,KXNBAGAME-25APR20MIACLE,Miami vs Cleveland: Game 1 Winner? Winner?,,2025-04-19T03:00:00Z,2025-04-21T01:28:21.122108Z,2025-04-21T01:36:41.777911Z,no,0.0000,146073.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR20MIACLE-CLE,KXNBAGAME-25APR20MIACLE,Miami vs Cleveland: Game 1 Winner? Winner?,,2025-04-19T03:00:00Z,2025-04-21T01:28:21.122108Z,2025-04-21T01:36:41.777911Z,yes,1.0000,138796.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR20GSWHOU-HOU,KXNBAGAME-25APR20GSWHOU,Golden State vs Houston: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-21T04:04:11.971903Z,2025-04-21T04:12:32.788363Z,no,0.0000,407815.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR20GSWHOU-GSW,KXNBAGAME-25APR20GSWHOU,Golden State vs Houston: Game 1 Winner? Winner?,,2025-04-18T19:15:00Z,2025-04-21T04:04:11.971903Z,2025-04-21T04:12:32.788363Z,yes,1.0000,405550.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR21DETNYK-NYK,KXNBAGAME-25APR21DETNYK,Detroit vs New York Winner?,,2025-04-21T15:05:00Z,2025-04-22T02:20:17.396868Z,2025-04-22T02:28:37.785931Z,no,0.0000,660870.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR21DETNYK-DET,KXNBAGAME-25APR21DETNYK,Detroit vs New York Winner?,,2025-04-21T15:05:00Z,2025-04-22T02:20:17.396868Z,2025-04-22T02:28:37.785931Z,yes,1.0000,486903.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR21LACDEN-LAC,KXNBAGAME-25APR21LACDEN,Los Angeles C vs Denver Winner?,,2025-04-21T15:05:00Z,2025-04-22T04:46:21.822233Z,2025-04-22T04:54:41.785849Z,yes,1.0000,374164.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR21LACDEN-DEN,KXNBAGAME-25APR21LACDEN,Los Angeles C vs Denver Winner?,,2025-04-21T15:05:00Z,2025-04-22T04:46:21.822233Z,2025-04-22T04:54:41.785849Z,no,0.0000,507478.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR22MILIND-MIL,KXNBAGAME-25APR22MILIND,Milwaukee vs Indiana Winner?,,2025-04-19T19:56:00Z,2025-04-23T01:46:24.890069Z,2025-04-23T01:54:44.794056Z,no,0.0000,261979.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR22MILIND-IND,KXNBAGAME-25APR22MILIND,Milwaukee vs Indiana Winner?,,2025-04-19T19:56:00Z,2025-04-23T01:46:24.890069Z,2025-04-23T01:54:44.794056Z,yes,1.0000,179388.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR22MEMOKC-OKC,KXNBAGAME-25APR22MEMOKC,Memphis vs Oklahoma City Winner?,,2025-04-21T16:05:00Z,2025-04-23T02:04:19.951276Z,2025-04-23T02:12:40.78398Z,yes,1.0000,112012.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR22MEMOKC-MEM,KXNBAGAME-25APR22MEMOKC,Memphis vs Oklahoma City Winner?,,2025-04-21T16:05:00Z,2025-04-23T02:04:19.951276Z,2025-04-23T02:12:40.78398Z,no,0.0000,107993.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR22MINLAL-MIN,KXNBAGAME-25APR22MINLAL,Minnesota vs Los Angeles L Winner?,,2025-04-21T16:05:00Z,2025-04-23T04:46:18.481059Z,2025-04-23T04:54:38.783582Z,no,0.0000,482395.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR22MINLAL-LAL,KXNBAGAME-25APR22MINLAL,Minnesota vs Los Angeles L Winner?,,2025-04-21T16:05:00Z,2025-04-23T04:46:18.481059Z,2025-04-23T04:54:38.783582Z,yes,1.0000,298601.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR23ORLBOS-ORL,KXNBAGAME-25APR23ORLBOS,Orlando vs Boston Winner?,,2025-04-21T16:05:00Z,2025-04-24T01:42:15.863478Z,2025-04-24T01:50:35.376208Z,no,0.0000,245661.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR23ORLBOS-BOS,KXNBAGAME-25APR23ORLBOS,Orlando vs Boston Winner?,,2025-04-21T16:05:00Z,2025-04-24T01:42:15.863478Z,2025-04-24T01:50:35.376208Z,yes,1.0000,241979.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR23MIACLE-MIA,KXNBAGAME-25APR23MIACLE,Miami vs Cleveland Winner?,,2025-04-21T16:05:00Z,2025-04-24T02:08:19.984106Z,2025-04-24T02:16:40.375708Z,no,0.0000,160681.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR23MIACLE-CLE,KXNBAGAME-25APR23MIACLE,Miami vs Cleveland Winner?,,2025-04-21T16:05:00Z,2025-04-24T02:08:19.984106Z,2025-04-24T02:16:40.375708Z,yes,1.0000,120712.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR23GSWHOU-HOU,KXNBAGAME-25APR23GSWHOU,Golden State vs Houston Winner?,,2025-04-21T16:05:00Z,2025-04-24T04:36:11.516922Z,2025-04-24T04:44:31.385456Z,yes,1.0000,417611.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR23GSWHOU-GSW,KXNBAGAME-25APR23GSWHOU,Golden State vs Houston Winner?,,2025-04-21T16:05:00Z,2025-04-24T04:36:11.516922Z,2025-04-24T04:44:31.385456Z,no,0.0000,412083.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR24NYKDET-DET,KXNBAGAME-25APR24NYKDET,New York vs Detroit Winner?,,2025-04-22T02:20:00Z,2025-04-25T02:12:26.169418Z,2025-04-25T02:20:46.376723Z,no,0.0000,461332.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR24NYKDET-NYK,KXNBAGAME-25APR24NYKDET,New York vs Detroit Winner?,,2025-04-22T02:20:00Z,2025-04-25T02:12:26.169418Z,2025-04-25T02:20:46.376723Z,yes,1.0000,416291.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR24OKCMEM-OKC,KXNBAGAME-25APR24OKCMEM,Oklahoma City vs Memphis Winner?,,2025-04-23T02:00:00Z,2025-04-25T04:32:17.082439Z,2025-04-25T04:40:37.377318Z,yes,1.0000,460376.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR24OKCMEM-MEM,KXNBAGAME-25APR24OKCMEM,Oklahoma City vs Memphis Winner?,,2025-04-23T02:00:00Z,2025-04-25T04:32:17.082439Z,2025-04-25T04:40:37.377318Z,no,0.0000,417632.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR24DENLAC-LAC,KXNBAGAME-25APR24DENLAC,Denver vs Los Angeles C Winner?,,2025-04-22T04:40:00Z,2025-04-25T04:44:20.790609Z,2025-04-25T04:52:40.377499Z,yes,1.0000,171542.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR24DENLAC-DEN,KXNBAGAME-25APR24DENLAC,Denver vs Los Angeles C Winner?,,2025-04-22T04:40:00Z,2025-04-25T04:44:20.790609Z,2025-04-25T04:52:40.377499Z,no,0.0000,233569.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR25BOSORL-ORL,KXNBAGAME-25APR25BOSORL,Boston vs Orlando Winner?,,2025-04-24T01:45:00Z,2025-04-26T02:16:24.646602Z,2025-04-26T02:24:44.376969Z,yes,1.0000,390694.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR25BOSORL-BOS,KXNBAGAME-25APR25BOSORL,Boston vs Orlando Winner?,,2025-04-24T01:45:00Z,2025-04-26T02:16:24.646602Z,2025-04-26T02:24:44.376969Z,no,0.0000,364543.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR25INDMIL-MIL,KXNBAGAME-25APR25INDMIL,Indiana vs Milwaukee Winner?,,2025-04-23T01:50:00Z,2025-04-26T02:48:13.182061Z,2025-04-26T02:56:33.376987Z,yes,1.0000,188448.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR25INDMIL-IND,KXNBAGAME-25APR25INDMIL,Indiana vs Milwaukee Winner?,,2025-04-23T01:50:00Z,2025-04-26T02:48:13.182061Z,2025-04-26T02:56:33.376987Z,no,0.0000,195905.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR25LALMIN-MIN,KXNBAGAME-25APR25LALMIN,Los Angeles L vs Minnesota Winner?,,2025-04-23T04:45:00Z,2025-04-26T04:38:25.26241Z,2025-04-26T04:46:45.386811Z,yes,1.0000,273077.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR25LALMIN-LAL,KXNBAGAME-25APR25LALMIN,Los Angeles L vs Minnesota Winner?,,2025-04-23T04:45:00Z,2025-04-26T04:38:25.26241Z,2025-04-26T04:46:45.386811Z,no,0.0000,596198.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR26CLEMIA-MIA,KXNBAGAME-25APR26CLEMIA,Cleveland vs Miami Winner?,,2025-04-24T02:15:00Z,2025-04-26T19:34:26.421075Z,2025-04-26T19:42:46.376284Z,no,0.0000,136317.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR26CLEMIA-CLE,KXNBAGAME-25APR26CLEMIA,Cleveland vs Miami Winner?,,2025-04-24T02:15:00Z,2025-04-26T19:34:26.421075Z,2025-04-26T19:42:46.376284Z,yes,1.0000,116557.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR26OKCMEM-OKC,KXNBAGAME-25APR26OKCMEM,Oklahoma City vs Memphis Winner?,,2025-04-25T04:30:00Z,2025-04-26T22:26:23.253035Z,2025-04-26T22:34:43.376754Z,yes,1.0000,245413.00,0.9900,0.9900,0.0000
KXNBAGAME-25APR26OKCMEM-MEM,KXNBAGAME-25APR26OKCMEM,Oklahoma City vs Memphis Winner?,,2025-04-25T04:30:00Z,2025-04-26T22:26:23.253035Z,2025-04-26T22:34:43.376754Z,no,0.0000,323695.00,0.0100,0.0000,0.9900
KXNBAGAME-25APR26DENLAC-LAC,KXNBAGAME-25APR26DENLAC,Denver vs Los Angeles C Winner?,,2025-04-25T04:45:00Z,2025-04-27T00:54:18.216827Z,2025-04-27T01:02:38.37692Z,no,0.0000,305298.00,0.0100,0.0000,0.9900
