event_ticker,game_date,team1,team2,winner,loser,winner_implied_prob,loser_implied_prob,team1_articles,team2_articles,team1_avg_tone,team2_avg_tone,team1_avg_positive,team2_avg_positive,team1_avg_negative,team2_avg_negative,team1_avg_polarity,team2_avg_polarity,mention_ratio_t1,tone_diff_t1_minus_t2,polarity_diff_t1_minus_t2,media_disparity_t1,pricing_error_winner,pricing_error_loser
KXNBAGAME-25APR15ATLORL,2025-04-15,ATL,ORL,ORL,ATL,0.7088,0.3198,64,71,1.0969864178781283,0.7739037398111919,3.4495634838453757,3.3069870762281597,2.352577065967248,2.5330833364169676,5.802140549812622,5.840070412645127,-0.05185185185185185,0.32308267806693647,-0.0379298628325051,-0.009771792022579103,-0.2912,0.3198
KXNBAGAME-25APR15MEMGSW,2025-04-15,MEM,GSW,GSW,MEM,0.703,0.3084,100,161,-1.1372131782365607,-0.6296865492254005,2.8927033458576017,3.0229986582497714,4.029916524094163,3.6526852074751726,6.922619869951766,6.675683865724945,-0.23371647509578544,-0.5075266290111602,0.2469360042268205,-0.14223456899845072,-0.29700000000000004,0.3084
KXNBAGAME-25APR16DALSAC,2025-04-16,DAL,SAC,DAL,SAC,0.3261,0.6881,101,72,0.4205695191562078,0.024290265893701486,3.1103657971059526,2.7442254370288826,2.689796277949745,2.7199351711351807,5.800162075055699,5.464160608164064,0.1676300578034682,0.39627925326250635,0.3360014668916351,0.10362899156485941,-0.6738999999999999,0.6881
KXNBAGAME-25APR16MIACHI,2025-04-16,MIA,CHI,MIA,CHI,0.4654,0.5514,80,163,0.2156263118704531,-1.9394891478963379,2.9185901211036085,2.2589672703478185,2.7029638092331556,4.198456418244157,5.621553930336765,6.457423688591975,-0.34156378600823045,2.155115459766791,-0.8358697582552095,-0.06302612001577566,-0.5346,0.5514
KXNBAGAME-25APR18DALMEM,2025-04-18,DAL,MEM,MEM,DAL,0.684,0.3299,162,136,-0.04718020527650482,-0.15668468650325862,3.062472080610939,3.4106828535336846,3.109652285887444,3.567367540036944,6.172124366498382,6.97805039357063,0.087248322147651,0.1095044812267538,-0.8059260270722479,0.049099385135163195,-0.31599999999999995,0.3299
KXNBAGAME-25APR18MIAATL,2025-04-18,MIA,ATL,MIA,ATL,0.6117,0.4342,135,105,0.26881320197726616,0.8562430510214409,2.885641418544979,3.5714019979870377,2.616828216567713,2.7151589469655963,5.502469635112691,6.286560944952634,0.125,-0.5874298490441747,-0.7840913098399431,0.033128507547791265,-0.3883,0.4342
KXNBAGAME-25APR19DETNYK,2025-04-19,DET,NYK,NYK,DET,0.7495,0.2686,53,59,0.15218779481651765,0.9059607268766643,2.888602268891481,3.2917005550710225,2.736414474074963,2.3857398281943585,5.625016742966444,5.677440383265383,-0.05357142857142857,-0.7537729320601466,-0.05242364029893842,-0.06447436088872162,-0.25049999999999994,0.2686
KXNBAGAME-25APR19LACDEN,2025-04-19,LAC,DEN,DEN,LAC,0.5179,0.5023,63,48,0.5481247253844365,0.8835292390130127,3.6776871600164105,3.589672841753207,3.1295624346319744,2.7061436027401946,6.807249594648384,6.295816444493402,0.13513513513513514,-0.33540451362857626,0.511433150154982,0.050797341886138755,-0.4821,0.5023
KXNBAGAME-25APR19MILIND,2025-04-19,MIL,IND,IND,MIL,0.727,0.3008,78,67,0.3198462829274178,0.3778990217280409,2.8365664112775444,2.8381249306727954,2.5167201283501277,2.4602259089447562,5.353286539627673,5.298350839617552,0.07586206896551724,-0.058052738800623116,0.05493570001012138,0.03502839754272746,-0.273,0.3008
KXNBAGAME-25APR19MINLAL,2025-04-19,MIN,LAL,MIN,LAL,0.3546,0.6647,78,161,0.5962676226473843,0.7608571890994359,3.0677054745029326,3.1037562899074835,2.4714378518555478,2.3428991008080473,5.539143326358481,5.446655390715532,-0.3472803347280335,-0.16458956645205158,0.0924879356429491,-0.1818696456866193,-0.6454,0.6647
