event_ticker,winner,loser,winner_implied_prob,loser_implied_prob,winner_trades,loser_trades,winner_contracts,loser_contracts
KXNBAGAME-25APR15ATLORL,ORL,ATL,0.7088,0.3198,205.0,259.0,40975.0,56049.0
KXNBAGAME-25APR15MEMGSW,GSW,MEM,0.703,0.3084,258.0,196.0,64124.0,39191.0
KXNBAGAME-25APR16DALSAC,DAL,SAC,0.3261,0.6881,171.0,156.0,46084.0,31823.0
KXNBAGAME-25APR16MIACHI,MIA,CHI,0.4654,0.5514,77.0,142.0,14455.0,28634.0
KXNBAGAME-25APR18DALMEM,MEM,DAL,0.684,0.3299,33.0,111.0,3932.0,19709.0
KXNBAGAME-25APR18MIAATL,MIA,ATL,0.6117,0.4342,237.0,154.0,34013.0,58202.0
KXNBAGAME-25APR19DETNYK,NYK,DET,0.7495,0.2686,66.0,44.0,21691.0,5241.0
KXNBAGAME-25APR19LACDEN,DEN,LAC,0.5179,0.5023,220.0,221.0,74176.0,38333.0
KXNBAGAME-25APR19MILIND,IND,MIL,0.727,0.3008,84.0,169.0,35068.0,37631.0
KXNBAGAME-25APR19MINLAL,MIN,LAL,0.3546,0.6647,86.0,95.0,21707.0,20336.0
KXNBAGAME-25APR20GSWHOU,GSW,HOU,0.4822,0.5332,167.0,103.0,30696.0,12587.0
KXNBAGAME-25APR20MEMOKC,OKC,MEM,0.8815,0.1309,68.0,118.0,21848.0,30043.0
KXNBAGAME-25APR20MIACLE,CLE,MIA,0.8645,0.1546,85.0,72.0,15185.0,23179.0
KXNBAGAME-25APR20ORLBOS,BOS,ORL,0.882,0.1371,45.0,35.0,17481.0,4960.0
KXNBAGAME-25APR21DETNYK,DET,NYK,0.3132,0.7103,141.0,94.0,18428.0,24323.0
KXNBAGAME-25APR21LACDEN,LAC,DEN,0.5116,0.5047,101.0,130.0,42621.0,33780.0
KXNBAGAME-25APR22MEMOKC,OKC,MEM,0.9025,0.1198,20.0,19.0,2088.0,6675.0
KXNBAGAME-25APR22MILIND,IND,MIL,0.6554,0.3318,82.0,168.0,19194.0,47947.0
KXNBAGAME-25APR22MINLAL,LAL,MIN,0.69,0.3227,242.0,300.0,59416.0,108713.0
KXNBAGAME-25APR23GSWHOU,HOU,GSW,0.6706,0.3299,144.0,360.0,54494.0,107653.0
KXNBAGAME-25APR23MIACLE,CLE,MIA,0.8518,0.1628,19.0,39.0,5125.0,5270.0
KXNBAGAME-25APR23ORLBOS,BOS,ORL,0.823,0.1876,74.0,91.0,16759.0,26945.0
KXNBAGAME-25APR24DENLAC,LAC,DEN,0.6924,0.3298,56.0,75.0,38779.0,20517.0
KXNBAGAME-25APR24NYKDET,NYK,DET,0.5965,0.4182,364.0,364.0,63870.0,89413.0
KXNBAGAME-25APR24OKCMEM,OKC,MEM,0.7917,0.2333,130.0,156.0,74646.0,29222.0
KXNBAGAME-25APR25BOSORL,ORL,BOS,0.3023,0.7236,210.0,311.0,50344.0,67765.0
KXNBAGAME-25APR25INDMIL,MIL,IND,0.654,0.3658,105.0,96.0,40011.0,38177.0
KXNBAGAME-25APR25LALMIN,MIN,LAL,0.6256,0.3888,121.0,317.0,38919.0,88198.0
KXNBAGAME-25APR26CLEMIA,CLE,MIA,0.6604,0.3515,49.0,44.0,10060.0,14036.0
KXNBAGAME-25APR26DENLAC,DEN,LAC,0.3399,0.68,146.0,73.0,39444.0,9033.0
KXNBAGAME-25APR26HOUGSW,GSW,HOU,0.5048,0.5322,359.0,286.0,55182.0,68510.0
KXNBAGAME-25APR26OKCMEM,OKC,MEM,0.8935,0.1118,86.0,172.0,50941.0,36535.0
KXNBAGAME-25APR27BOSORL,BOS,ORL,0.7406,0.2875,302.0,385.0,125102.0,82860.0
KXNBAGAME-25APR27INDMIL,IND,MIL,0.4023,0.6056,150.0,126.0,34703.0,24916.0
